Cadena,Tienda,Estado,Municipio,Latitude,Longitude,Title
Zorro Abarrotero,ZPR,México,Naucalpan,19.5457621,-99.3516972,Title1
Zorro Abarrotero,ZES,México,Naucalpan,19.493979,-99.3044248,Title2
Scorpion,SN2,México,Naucalpan,19.4686116,-99.238948,Title3
Zorro Abarrotero,CNA,México,Naucalpan,19.4666842,-99.2445412,Title4
Zorro Abarrotero,ZRH,México,Naucalpan,19.4553762,-99.2519831,Title5
Scorpion,SN3,México,Naucalpan,19.4525541,-99.2491945,Title6
Zorro Abarrotero,ZTL,México,Tlalnepantla,19.5404804,-99.1940238,Title7
Zorro Abarrotero,ZNR,México,Nicolás Romero,19.6214412,-99.3284169,Title8
Zorro Abarrotero,ZN2,México,Nicolás Romero,19.6248475,-99.3286988,Title9
Scorpion,STL,México,Tlalnepantla,19.4326018,-99.1353936,Title10
Zorro Abarrotero,ZTN,México,Tlalnepantla,19.5550151,-99.1815459,Title11
Zorro Abarrotero,ZAT,México,Atizapán,19.5712388,-99.2530477,Title12
Zorro Abarrotero,ZAN,México,Atizapán,19.5703258,-99.255389,Title13
Scorpion,SAT,México,Atizapán,19.5713795,-99.2539298,Title14
Zorro Abarrotero,ZLG,México,Atizapán,19.5804826,-99.2274575,Title15
Zorro Abarrotero,ZEC,México,Ecatepec,19.493979,-99.3044248,Title16
Scorpion,SECAGV,México,Ecatepec,19.4326068,-99.1353936,Title17
Zorro Abarrotero,ZE2,México,Ecatepec,19.5708609,-99.0589812,Title18
Scorpion,SCADE,México,Ecatepec,19.4326068,-99.1353936,Title19
Scorpion,SCADE2,México,Ecatepec,19.4326068,-99.1353936,Title20
Scorpion,SEC,México,Ecatepec,19.4326068,-99.1353936,Title21
Zorro Abarrotero,ZTM,México,Ecatepec,19.5495587,-99.3364402,Title22
Zorro Abarrotero,ZTC,México,Ecatepec,19.5141471,-99.1256171,Title23
Zorro Abarrotero,ZE3,México,Ecatepec,19.493979,-99.3044248,Title24
